"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\app.dart", "Dart", 21, 0, 3, 24
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\config\routes\app_pages.dart", "Dart", 65, 3, 5, 73
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\config\routes\app_routes.dart", "Dart", 6, 0, 1, 7
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\constants.dart", "Dart", -7, 0, -2, -9
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\core\utils\app_bar_delegate.dart", "Dart", 127, 53, 10, 190
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\core\utils\app_strings.dart", "Dart", 4, 2, 2, 8
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\core\utils\bloc_observer.dart", "Dart", 37, 4, 9, 50
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\core\utils\constants.dart", "Dart", 98, 2, 3, 103
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\core\utils\custom_clipper.dart", "Dart", 16, 0, 3, 19
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\core\utils\sticky_title_delegate.dart", "Dart", 28, 0, 6, 34
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\cubits\cubit\place_card_video_cubit.dart", "Dart", -31, 0, -9, -40
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\cubits\cubit\place_card_video_state.dart", "Dart", -11, 0, -8, -19
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\features\full_video\cubit\full_video.dart", "Dart", 23, 0, 5, 28
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\features\full_video\screens\full_video_screen.dart", "Dart", 58, 4, 4, 66
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\features\home\cubit\home_cubit.dart", "Dart", 28, 1, 8, 37
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\features\home\screens\home_screen.dart", "Dart", 131, 0, 3, 134
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\features\navigation_page\screens\navigation_page.dart", "Dart", 69, 0, 4, 73
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\features\place_video\cubit\place_video_cubit.dart", "Dart", 64, 8, 13, 85
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\features\place_video\cubit\place_video_state.dart", "Dart", 13, 0, 11, 24
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\features\place_video\screens\place_video_screen.dart", "Dart", 21, 0, 5, 26
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\home_page.dart", "Dart", -153, 0, -11, -164
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\main.dart", "Dart", -19, 0, -2, -21
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\models\place_model.dart", "Dart", 17, 0, 2, 19
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\place_card.dart", "Dart", -185, 0, -18, -203
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\video_page.dart", "Dart", -72, 0, -9, -81
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\widgets\place_card_widget.dart", "Dart", 97, 4, 5, 106
"Total", "-", 445, 81, 43, 569